id,Name,Age group=0-15: % by age,Age group=16-24: % by age,Age group=25-34: % by age,Age group=35-49: % by age,Age group=50-64: % by age,Age group=65++: % by age,Ethnic group=White: % by ethnic group,Ethnic group=Asian; Asian British or Asian Welsh: % by ethnic group,Ethnic group=Black; Black British; Black Welsh; Caribbean or African: % by ethnic group,Ethnic group=Mixed or Multiple ethnic groups: % by ethnic group,Ethnic group=Other ethnic group: % by ethnic group,level=No qualifications: % by qualification level,level=level 1: % by qualification level,level=level 2: % by qualification level,level=level 3: % by qualification level,level=level 4: % by qualification level,level=other: % by qualification level,level=Does not apply: % by qualification level,status=active + employed: % by economic activity,status=active + unemployed: % by economic activity,status=student active + employed: % by economic activity,status=student active + unemployed: % by economic activity,status=student inactive: % by economic activity,status=not student inactive: % by economic activity,status=Does not apply: % by economic activity,% not deprived,% deprived in one dimension,% deprived in two dimensions,% deprived in three dimensions,% deprived in four dimensions,All: % 1-29 min exercise per week,All: % 30-149 min exercise per week,All: % 150+ min exercise per week,Female: % 1-29 min exercise per week,Female: % 30-149 min exercise per week,Female: % 150+ min exercise per week,Male: % 1-29 min exercise per week,Male: % 30-149 min exercise per week,Male: % 150+ min exercise per week,All: % not club members,All: % club members,Female: % not club members,Female: % club members,Male: % not club members,Male: % club members
E06000001,Hartlepool,19.1,9.9,12.3,17.3,21.7,19.7,96.5,1.7,0.5,0.7,0.6,18.7,7.7,11.9,14.9,20.1,7.6,19.1,39.9,2.9,1.0,0.4,3.8,33.0,19.1,42.2,33.6,18.5,5.6,0.2,28.53,18.80,52.67,29.57,20.16,50.27,27.23,17.61,55.17,75.10,24.90,77.35,22.65,70.50,29.50
E06000002,Middlesbrough,20.8,11.8,14.3,17.6,18.6,16.8,82.4,10.5,2.7,2.1,2.4,19.0,7.8,10.6,13.9,20.9,7.0,20.8,37.4,3.0,1.8,1.0,5.5,30.4,20.8,42.2,33.8,17.9,5.8,0.2,27.22,20.00,52.78,26.09,24.10,49.81,28.34,15.32,56.34,72.65,27.35,66.93,33.07,79.19,20.81
E06000003,Redcar and Cleveland,17.7,8.9,11.3,16.7,22.1,23.3,97.7,0.8,0.2,0.9,0.4,18.1,8.0,11.5,15.6,20.5,8.5,17.7,39.8,2.6,1.0,0.4,3.3,35.4,17.7,44.1,34.2,16.7,4.8,0.2,21.05,15.46,63.49,20.88,21.27,57.84,20.55,9.96,69.49,74.61,25.39,73.49,26.51,75.68,24.32
E06000004,Stockton-on-Tees,19.6,9.1,12.7,18.9,20.7,18.9,92.0,4.6,1.1,1.4,0.8,15.0,7.8,11.7,14.8,23.7,7.4,19.6,42.8,2.6,1.2,0.4,3.5,29.9,19.6,48.4,32.5,15.1,4.0,0.2,19.69,19.13,61.18,19.11,18.10,62.79,20.00,20.18,59.82,72.62,27.38,69.61,30.39,76.03,23.97
E06000005,Darlington,18.3,9.2,12.4,18.7,21.0,20.4,94.4,2.8,0.7,1.4,0.9,15.7,7.7,11.8,15.0,23.7,7.9,18.3,44.6,2.5,1.1,0.3,3.0,30.2,18.3,48.6,33.5,14.2,3.6,0.2,21.26,16.67,62.07,22.56,19.66,57.78,19.60,13.29,67.12,76.93,23.07,81.81,18.19,70.56,29.44
E06000006,Halton,19.1,9.5,12.8,19.4,20.6,18.6,96.5,1.1,0.4,1.4,0.6,17.0,9.6,13.5,14.8,19.4,6.5,19.1,44.6,2.2,1.1,0.4,3.1,29.6,19.1,43.2,33.5,17.6,5.5,0.2,23.99,18.46,57.56,24.62,19.27,56.11,23.26,17.66,59.08,76.73,23.27,81.02,18.98,71.07,28.93
E06000007,Warrington,18.1,9.1,12.5,20.0,21.2,19.0,93.5,3.3,0.7,1.6,0.9,13.5,8.2,12.1,14.1,27.0,7.0,18.1,47.7,1.9,1.2,0.4,3.0,27.7,18.1,51.9,32.1,12.8,3.1,0.1,19.24,16.03,64.73,18.14,20.20,61.66,19.80,11.61,68.59,66.68,33.32,72.04,27.96,62.56,37.44
E06000008,Blackburn with Darwen,22.8,11.7,13.4,19.8,17.9,14.5,60.4,35.7,0.9,1.7,1.4,18.7,8.4,10.7,12.2,20.7,6.6,22.8,39.8,2.5,1.3,0.5,5.0,28.2,22.8,41.2,34.0,18.2,6.3,0.3,29.49,18.52,51.99,28.37,19.80,51.82,30.74,17.11,52.15,74.48,25.52,78.07,21.93,70.17,29.83
E06000009,Blackpool,17.5,9.4,12.8,17.6,21.9,20.7,94.7,2.6,0.5,1.6,0.6,20.3,9.7,12.4,13.7,18.6,7.8,17.5,40.8,3.1,1.3,0.4,2.9,33.9,17.5,38.2,35.1,19.7,6.5,0.5,24.38,18.49,57.14,23.78,18.78,57.45,24.30,18.56,57.14,80.41,19.59,79.34,20.66,81.37,18.63
E06000010,Kingston upon Hull,19.9,11.9,15.4,19.0,18.5,15.3,91.8,2.8,1.9,1.7,1.8,20.2,9.0,11.3,14.0,17.4,8.1,19.9,42.7,3.3,1.4,0.6,4.8,27.3,19.9,41.2,34.1,18.9,5.6,0.3,25.13,17.07,57.80,25.05,16.75,58.20,24.30,17.81,57.89,77.82,22.18,83.54,16.46,71.82,28.18
E06000011,East Riding of Yorkshire,15.8,8.1,10.2,16.8,22.7,26.4,97.4,1.1,0.3,0.9,0.4,15.3,8.5,11.9,14.5,25.7,8.4,15.8,44.6,1.7,1.0,0.3,2.7,33.9,15.8,51.1,34.0,12.4,2.3,0.1,18.24,18.24,63.52,17.30,19.18,63.52,19.25,17.23,63.52,68.88,31.12,72.42,27.58,65.31,34.69
